Feature,VIF
MonthlyCharges,210.7324692999302
PhoneService,47.06899136291282
TotalCharges,21.381128145329264
tenure,20.48141951070057
InternetService_Fiber optic,17.539614263730485
InternetService_No,8.235735281206596
StreamingMovies,5.062488053245623
StreamingTV,4.908938817707612
Contract_Two year,3.487460697310051
DeviceProtection,2.9901434843237755
PaperlessBilling,2.957220486172352
PaymentMethod_Electronic check,2.955444000608616
OnlineBackup,2.895916893146489
MultipleLines,2.8524414501971034
Partner,2.8248200074897927
TechSupport,2.750093342610659
OnlineSecurity,2.6671669833927845
PaymentMethod_Mailed check,2.3826602466659375
Contract_One year,2.0561901164107246
PaymentMethod_Credit card (automatic),1.9839891989823981
gender,1.9807327741619989
Dependents,1.9693651649253796
SeniorCitizen,1.3765596690645159
